PARK NAME,ZIP
CEDAR,60640
DAVIS (DR. NATHAN) SQUARE,60609
NORTH MAYFAIR,60630
MCINERNEY (THOMAS),60609
SCOTTSDALE,60652
AVALON,60619
DOOLEY (THOMAS),60652
BRAINERD,60620
RIDGE,60643
D'ELIA (AILEEN),60660
BATTLE OF FORT DEARBORN,60616
PARK NO. 510,60612
THILLENS,60645
REYES (GUADALUPE),60608
DURKIN (MARTIN),60652
PARK NO. 529,60647
HAZELNUT,60644
HORNBEAM,60623
"TOUHY-HERBERT (JOHN, VICTOR)",60612
MONTGOMERY (MABEL),60629
POPLAR,60653
MOZART (AMADEUS),60647
SHEIL (BERNARD) COMM. CTR.,60657
RIVER ESPLANADE,60611
KENMORE,60657
TREBES,60614
JARVIS (R.J.) BEACH,60626
CRAGIN,60639
COLE (NAT KING),60619
HOLLY,60653
RIDGE PARK WETLANDS,60643
"LUNT (ORRINGTON, STEPHEN)",60645
LERNER (LEO),60645
BURNSIDE (AMBROSE),60619
CLARENDON COMM. CTR.,60640
LANE (GEORGE) BEACH,60660
PARK NO. 422,60624
HARRIS (RYAN) MEMORIAL,60621
BIXLER (RAY),60637
GARIBALDI (GIUSEPPI),60607
AUSTIN TOWN HALL,60644
PARK NO. 540,60616
SINTIC (GREGORY),60616
WOOD (ELIZABETH),60618
PARK NO. 382,60620
SEWARD (WILLIAM),60610
STARR (ELLEN GATES),60612
SUMAC,60653
KEN-WELL,60641
WASHINGTON SQUARE,60610
LOWE (SAMUEL),60609
EDGEBROOK,60646
OWENS (JESSE),60617
EUGENIE TRIANGLE,60614
"TAYLOR-LAURIDSEN (JOHN, EMIL)",60609
PULLMAN (GEORGE),60628
MCKIERNAN (DAVID),60655
PARK NO. 562,60643
FILBERT,60613
MARQUETTE (JACQUES),60629
TILL-MOBLEY (MAMIE),60637
MAYFAIR,60630
FERNWOOD PKWY.,60628
SAIN (HARRY),60612
PARK NO. 515,60624
RIIS (JACOB),60639
VIOLET,60624
HIAWATHA,60634
UNION,60606
KIWANIS,60625
BARRETT (JOHN),60608
CALIFORNIA,60618
SWEET CLOVER,60644
HARRIS (HARRIET),60637
GILL (JOSEPH),60613
JEFFERSON (NANCY),60612
OGDEN (WILLIAM) PLAZA,60611
DREXEL (FRANCIS),60636
BARNARD (ERASTUS),60643
GOLDBERG (LOUIS),60626
MERRILL (GEORGE),60617
GOMPERS (SAMUEL),60630
MILLER (SAMUEL),60607
JEFFERSON (THOMAS),60616
O'HALLAREN (BERNARD),60620
DEARBORN (HENRY),60605
ECKERSALL (WALTER HERBERT),60617
LINCOLN (ABRAHAM),60614
BICKERDIKE (GEORGE) SQUARE,60622
ROGERS (PHILLIP) BEACH,60626
KINZIE (JOHN) PKWY.,60644
ARMSTRONG (LILLIAN HARDIN),60653
"SENKA (EDWARD ""DUKE"")",60629
ROBICHAUX (JOSEPH),60620
SNAPPING TURTLE,60612
CRESCENT,60643
GOUDY (WILLIAM) SQUARE,60610
JACKSON (MAHALIA),60620
MURRAY (DAVID),60636
PARK NO. 558,60643
RIVER,60625
LAMB (HAROLD),60643
ELM,60615
COLEMAN (BESSIE),60615
BARAGA (FREDERICK),60608
PARK NO. 484,60638
SHERIDAN (PHILIP HENRY),60607
SHERMAN (JOHN),60609
ROBERTS (DANIEL) SQUARE,60630
MASON (ELIZABETH),60624
PARSONS (LUCY),60641
PARK NO. 532,60653
HAAS (JOSEPH),60647
PARK NO. 560,60654
JENSEN (CHRIST),60625
COLISEUM,60605
MARSHFIELD,60620
"WICKER (CHARLES, JOEL)",60622
PIETROWSKI (SYLVESTER),60617
COLUMBUS (CHRISTOPHER),60644
PARK WEST,60614
DONOVAN (GEORGE),60609
KLEIN (LOIS),60657
MORAN (TERRANCE),60621
RAVENSWOOD MANOR,60625
CANAL ORIGINS,60608
BOGAN (WILLIAM),60652
"KUCINSKI-MURPHY (VICKI, ROSEBETH)",60608
KENNEDY (DENNIS),60655
BUFFALO,60625
NORTH SHORE BEACH,60626
KEDVALE,60651
CALUMET,60617
BURNHAM GREENWAY,60617
MIDWAY PLAISANCE,60637
MONUMENT,60631
WASHINGTON (HAROLD) MEM.,60626
BROMANN (CHARLES),60640
AVONDALE,60618
HUCKLEBERRY,60637
CHESTNUT,60637
AUSTIN FOSTER,60630
CLAREMONT,60612
HUBBARD (GURDON),60644
"BOLER (LEO ROSCOE, SR.)",60624
HUMBERT (JAMES),60616
HARRISON (CARTER),60608
COOPER (JACK),60643
THROOP (AMOS GAGER),60608
MINUTEMAN,60638
KENNICOTT (JONATHAN),60653
SAUGANASH TRAIL,60626
BLOCK,60628
CENTENNIAL,60631
CANALPORT RIVERWALK,60608
WEST PULLMAN,60628
LE CLAIRE COURTS - HEARST COMM. CTR,60638
JACOLIK (FLORIAN S.),60608
PARK NO. 535,60614
DAWES (CHARLES),60620
WILDWOOD,60646
MCGUANE (JOHN),60608
BIRCH,60653
WOLCOTT (ALEXANDER),60636
PARK NO. 527,60621
KEYSTONE,60639
PARK NO. 437,60636
KELLY (JOHN),60613
WASHTENAW,60608
FOREST GLEN,60630
REVERE (PAUL),60618
CHRISTIANA,60623
ROGERS (PHILLIP),60645
ELSTON (DANIEL),60618
NINEBARK,60623
PARK NO. 468,60629
HERITAGE GREEN,60661
INDEPENDENCE,60618
GARFIELD (JAMES),60624
MALUS,60609
CHASE (SALMON),60640
EDISON (THOMAS ALVA),60631
EMERALD,60621
VETERANS' MEMORIAL,60617
HASAN (ELLIOT),60649
CONNORS (WILLIAM),60611
WHITE (WILLYE B.),60626
HARTIGAN (DAVID) BEACH,60626
WENDT (KENNETH),60657
BEVERLY,60655
FLYING SQUIRREL,60637
CORNELL (PAUL),60615
SENN (NICHOLAS),60660
PINE,60617
SPRUCE,60615
BRIGHTON,60632
ORR (REZIN),60624
EMMERSON (LOUIS),60660
MOUNT GREENWOOD,60655
GATELY (JAMES),60628
PARK NO. 523,60617
BAULER (MATHIAS),60614
CARPENTER (PHILO),60621
ASHMORE,60630
NOTTINGHAM,60638
PORTAGE,60641
NASH (DON) COMM. CTR.,60649
COTTONWOOD,60644
FOSTER (J. FRANK),60620
PARK NO. 326,60637
BOSLEY (WILLIAM),60608
CLOVER,60614
SMITH (WENDELL),60628
ASHE (ARTHUR) BEACH,60649
PALMER (POTTER),60628
KORCZAK (JANUSZ),60659
PARK NO. 557,60645
STOUT (FLORENCE),60615
FERNWOOD,60628
COTTON TAIL,60616
BEEHIVE,60637
COSME (MARGARET),60620
BESSEMER (HENRY),60617
LUNA,60621
NORTH PARK NATURE CENTER,60646
DIXON (LORRAINE),60619
PARK NO. 554,60647
MUNROE,60655
GRANDPARENTS',60656
MANDRAKE (HENRY BROWN),60653
CARMEN,60640
HANSBERRY (LORRAINE),60637
AUSTIN (HENRY),60644
ROSENBLUM (J. LESLIE),60649
WANG (CHI CHE),60657
DICKINSON (ARTHUR),60641
LUELLA,60617
PARK NO. 419,60619
MARTIN (JOHNNY),60657
BARTELME (MARY),60602
LELAND GIANTS,60621
LONDON (LOUIS),60623
GLADYS (GUNDERSON),60624
THUIS (GRACE ZWIEFKA),60630
ROBINSON (JACKIE),60643
"PRATT (GEORGE, PAUL) BEACH",60626
COLUMBIA BEACH,60626
PRIVET,60614
MULBERRY POINT,60631
GINKGO,60623
LA FOLLETTE (ROBERT),60651
BACK OF THE YARDS,60609
LAKE MEADOWS,60616
SUNKEN GARDENS,60625
PARK NO. 514,60651
GREENBAUM (HENRY),60639
LINDBLOM (ROBERT),60636
HERMITAGE,60636
FOSCO (PETER),60608
EDMONDS (MOLLY),60621
BROOKS (GWENDOLYN),60653
FIELD (EUGENE),60625
MICEK (FRANK),60609
HICKORY,60640
DEBOW (RUSSELL),60619
DOUGHERTY (DANIEL),60647
GROSS,60625
DOUGLAS (STEPHEN),60623
FARGO (JAMES) BEACH,60626
BUCKTHORN,60653
TULEY (MURRAY),60619
GAGE (GEORGE),60629
LOYOLA,60626
WELLES (GIDEON),60625
CATALPA,60632
PROSPECT GARDENS,60643
PIOTROWSKI (LILLIAN),60623
DOGWOOD,60612
SIMONS (ALMIRA),60647
HOARD (EDISON),60619
PARK NO. 421,60609
BLACKHAWK,60639
RAINBOW BEACH,60649
PETERSON (PEHR SAMUEL),60646
OHIO & HARDING,60624
CORNELL (PAUL) SQUARE,60609
HONEYSUCKLE,60653
THE GROVE,60620
LAKE SHORE,60611
ORIOLE,60656
PARK NO. 519,60623
PERIWINKLE,60621
GOOSEBERRY,60640
NORWOOD CIRCLE,60631
KELLS (GEORGE),60624
DUBKIN (LEONARD),60626
BOSWELL (ARNITA YOUNG),60637
VOGLE (HENRY JR.),60625
STATEWAY,60609
MEYERING (WILLIAM),60619
HARSH (VIVIAN G.),60653
COMMERCIAL CLUB PGD. of CHICAGO,60622
JACOB,60625
PARK NO. 526,60659
GRANT (ULYSSES),60605
BUENA CIRCLE,60613
MULBERRY,60608
LANGLEY,60628
PLEASANT POINT,60631
JUNIPER,60613
MYRTLE GROVE,60631
"HOUSTON (JESSIE ""MA"")",60615
CLARK (JOHN),60644
PARK NO. 559,60660
BRANDS,60618
BUTTERCUP,60640
PARK NO. 503,60617
CLARK (RICHARD),60618
PARK NO. 563,60633
SYCAMORE,60615
WENTWORTH (JOHN) GARDENS,60609
LEVIN (JOHN),60644
"KING (MARTIN LUTHER, JR.)",60620
OZ,60614
HERMOSA,60639
MARIANO (LOUIS),60611
ARCHER (WILLIAM BEATTY),60632
VALLEY FORGE,60638
LAZARUS (EMMA),60626
PARK NO. 500,60624
GALEWOOD,60639
AIELLO (JOHN),60639
INDIAN ROAD,60646
SUN YAT-SEN,60616
OGDEN (WILLIAM),60636
VITTUM (HARRIET ELIZABETH),60638
MAPLE,60647
HAMLIN (HANNIBAL),60618
ADDAMS (JANE),60608
LITTLE VENICE,60609
PARK NO. 474,60616
BOHN (HENRY),60643
KOSCIUSZKO (THADEUZ),60647
KRAUSE (FRANCIS VERNON),60617
PARK-VIEW,60618
PARK NO. 521,60613
STANTON (EDWIN),60610
OAKDALE,60643
CLYBOURN (ARCHIBALD),60614
PARK NO. 432,60651
PARK NO. 534,60623
HAYES (FRANCIS),60652
FULLER (MELVILLE),60609
ALMOND,60643
RENAISSANCE,60620
PARK NO. 556,60647
PULASKI (CASIMER),60622
ROSEDALE,60646
WRIGHTWOOD,60614
WESOLEK (MARLENE),60633
INDIAN BOUNDARY,60645
MONTICELLO,60647
WIEBOLDT (WILLIAM),60657
ROWAN (WILLIAM),60617
LIMAS (JULIANN HOPE),60623
DOBSON,60619
BRYNFORD,60646
MOCCASIN RANCH,60637
HOMAN (JOSEPH),60623
SCHREIBER,60626
NEIGHBORS' GARDEN,60647
LAWLER (MICHAEL),60638
RAILROAD JUNCTION,60619
MID-NORTH,60614
WALSH (JOHN),60614
JACKSON (ANDREW),60637
WOODHULL (ROSS),60649
SMITH (JOSEPH HIGGINS),60612
PARK NO. 399,60622
GRAND,60651
WHITE (EDWARD),60643
CLEMENTE (ROBERTO),60622
PALMISANO (HENRY),60608
METCALFE (RALPH),60609
TRUMBULL (LYMAN),60617
LEGION,60659
NOETHLING (GRACE),60614
BRADLEY (JOSEPHINE),60617
NICHOLS (JOHN FOUNTAIN),60615
CHIPPEWA,60645
DURSO (JOHN),60610
